file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 32)",367
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 34)",368
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 33)",369
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",370
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 33)",371
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 34)",372
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 32)",373
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 35)",374
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 36)",375
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 38)",376
