file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 22)",352
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 22)",353
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 21)",354
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 21)",355
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 20)",356
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 21)",357
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 20)",358
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 18)",359
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 20)",360
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 20)",361
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 20)",362
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 20)",363
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 20)",364
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 18)",365
