file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(258, 219)",292
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 219)",293
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 219)",294
"GP010016_fast.mp4_uca_cc01(291, 205)","(255, 219)",295
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 218)",296
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 220)",297
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",298
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",299
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 220)",300
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 220)",301
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",302
"GP010016_fast.mp4_uca_cc01(291, 205)","(257, 219)",303
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 220)",304
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",305
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",306
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",307
"GP010016_fast.mp4_uca_cc01(291, 205)","(256, 219)",308
"GP010016_fast.mp4_uca_cc01(291, 205)","(254, 218)",309
"GP010016_fast.mp4_uca_cc01(291, 205)","(255, 218)",310
"GP010016_fast.mp4_uca_cc01(291, 205)","(254, 218)",311
"GP010016_fast.mp4_uca_cc01(291, 205)","(254, 218)",312
"GP010016_fast.mp4_uca_cc01(291, 205)","(253, 220)",313
"GP010016_fast.mp4_uca_cc01(291, 205)","(254, 218)",314
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",315
"GP010016_fast.mp4_uca_cc01(291, 205)","(253, 219)",316
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",317
"GP010016_fast.mp4_uca_cc01(291, 205)","(253, 219)",318
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 218)",319
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",320
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",321
